Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Savage,42.53,-72.18,Temperate,Forest,Natural,630,NA,NA,1997,0.735,0.912,0.67,-0.075,7.94,8.22,8.09,0.228,0.222,35.02,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,700,NA,NA,1997,0.735,0.912,0.67,-0.075,7.94,8.22,8.09,0.228,0.222,35.02,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,570,NA,NA,1997,0.735,0.912,0.67,-0.075,7.94,8.22,8.09,0.228,0.222,35.02,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,370,NA,NA,1997,0.735,0.912,0.67,-0.075,7.94,8.22,8.09,0.228,0.222,35.02,5.26,0,1,Sand,5,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,800,NA,NA,1997,-0.135,0.272,0.517,-0.374,5.72,7.06,6.9,0.239,0.233,31.68,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,680,NA,NA,1997,-0.135,0.272,0.517,-0.374,5.72,7.06,6.9,0.239,0.233,31.68,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,540,NA,NA,1997,-0.135,0.272,0.517,-0.374,5.72,7.06,6.9,0.239,0.233,31.68,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,470,NA,NA,1997,-0.135,0.272,0.517,-0.374,5.72,7.06,6.9,0.239,0.233,31.68,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,370,NA,NA,1997,-0.135,0.272,0.517,-0.374,5.72,7.06,6.9,0.239,0.233,31.68,5.2,0,1,Sand,18,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,940,NA,NA,1998,-0.127,0.412,0.735,0.912,9.56,9.84,9.76,0.225,0.223,34.55,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,990,NA,NA,1998,-0.127,0.412,0.735,0.912,9.56,9.84,9.76,0.225,0.223,34.55,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,810,NA,NA,1998,-0.127,0.412,0.735,0.912,9.56,9.84,9.76,0.225,0.223,34.55,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,710,NA,NA,1998,-0.127,0.412,0.735,0.912,9.56,9.84,9.76,0.225,0.223,34.55,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,400,NA,NA,1998,-0.127,0.412,0.735,0.912,9.56,9.84,9.76,0.225,0.223,34.55,5.26,0,1,Sand,5,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,890,NA,NA,1998,-0.401,-0.396,-0.135,0.272,7.62,8.75,8.73,0.242,0.242,37.37,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,840,NA,NA,1998,-0.401,-0.396,-0.135,0.272,7.62,8.75,8.73,0.242,0.242,37.37,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,680,NA,NA,1998,-0.401,-0.396,-0.135,0.272,7.62,8.75,8.73,0.242,0.242,37.37,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,550,NA,NA,1998,-0.401,-0.396,-0.135,0.272,7.62,8.75,8.73,0.242,0.242,37.37,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,410,NA,NA,1998,-0.401,-0.396,-0.135,0.272,7.62,8.75,8.73,0.242,0.242,37.37,5.2,0,1,Sand,18,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,620,NA,NA,1999,-0.63,-0.518,-0.127,0.412,9.38,9.59,9.4,0.221,0.216,35.3,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,440,NA,NA,1999,-0.63,-0.518,-0.127,0.412,9.38,9.59,9.4,0.221,0.216,35.3,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,460,NA,NA,1999,-0.63,-0.518,-0.127,0.412,9.38,9.59,9.4,0.221,0.216,35.3,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,410,NA,NA,1999,-0.63,-0.518,-0.127,0.412,9.38,9.59,9.4,0.221,0.216,35.3,5.26,0,1,Sand,5,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,900,NA,NA,1999,-0.706,-0.75,-0.401,-0.396,7.96,8.71,8.56,0.236,0.236,36.48,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,830,NA,NA,1999,-0.706,-0.75,-0.401,-0.396,7.96,8.71,8.56,0.236,0.236,36.48,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,660,NA,NA,1999,-0.706,-0.75,-0.401,-0.396,7.96,8.71,8.56,0.236,0.236,36.48,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,540,NA,NA,1999,-0.706,-0.75,-0.401,-0.396,7.96,8.71,8.56,0.236,0.236,36.48,5.2,0,1,Sand,18,0,NA,NA
Savage,45.2,-68.73,Temperate,Forest,Natural,490,NA,NA,1999,-0.706,-0.75,-0.401,-0.396,7.96,8.71,8.56,0.236,0.236,36.48,5.2,0,1,Sand,18,0,NA,NA
Toland,44.8,-85.8,Temperate,Forest,Natural,487,NA,NA,1992,0.024,0.883,1.242,1.033,6.7,8.04,7.92,0.232,0.23,28.36,3.03,3.02,1,Sand,19,1,NA,NA
Toland,44.8,-85.8,Temperate,Forest,Natural,469,NA,NA,1992,0.024,0.883,1.242,1.033,6.7,8.04,7.92,0.232,0.23,28.36,3.03,3.02,1,Sand,19,1,NA,NA
Thierron,50.11,4.25,Temperate,Forest,Managed,1773,177,NA,1987,1.144,1.009,0.378,0.681,8.29,8.72,8.66,0.373,0.373,34.8,2.52,3.31,2,Loamy sand,19,1,NA,NA
Thierron,50.11,4.25,Temperate,Forest,Managed,1827,183,NA,1988,1.554,1.652,1.144,1.009,9.67,10.03,10,0.357,0.352,35.33,2.52,3.31,2,Loamy sand,19,1,NA,NA
Thierron,50.11,4.25,Temperate,Forest,Managed,2018,202,NA,1989,0.1,1.11,1.554,1.652,10.16,10.54,10.54,0.328,0.318,28.31,2.52,3.31,2,Loamy sand,19,1,NA,NA
Bolstad,45.8,-90.12,Temperate,Forest,Natural,867,NA,NA,1999,-0.569,-0.567,-0.407,-0.066,6.16,7.83,7.74,0.237,0.235,27.38,4.52,0,1,Sand,19,0,NA,NA
Bolstad,45.8,-90.12,Temperate,Forest,Natural,1097,NA,NA,1999,-0.569,-0.567,-0.407,-0.066,6.16,7.83,7.74,0.237,0.235,27.38,4.52,0,1,Sand,19,0,NA,NA
Bolstad,45.8,-90.12,Temperate,Forest,Natural,878,NA,NA,1999,-0.569,-0.567,-0.407,-0.066,6.16,7.83,7.74,0.237,0.235,27.38,4.52,0,1,Sand,19,0,NA,NA
